time,ax,ay,az,atotal
0.6988639831542969,-0.02,0.0,0.1,0.1
0.7088918685913086,-0.01,0.01,0.08,0.08
0.7186999320983887,-0.02,0.01,0.09,0.09
0.7287869453430176,-0.02,0.01,0.09,0.09
0.7387900352478027,0.0,0.02,0.09,0.09
0.7486379146575928,0.0,0.01,0.08,0.08
0.7586269378662109,-0.03,0.02,0.1,0.1
0.7685978412628174,-0.03,0.01,0.08,0.08
0.7784647941589355,0.0,-0.01,0.07,0.07
0.7885148525238037,-0.01,0.0,0.09,0.09
0.7983489036560059,-0.03,0.01,0.1,0.1
0.8083820343017578,-0.01,-0.01,0.09,0.09
0.8183479309082031,-0.01,-0.01,0.09,0.09
0.8283147811889648,-0.02,-0.01,0.09,0.09
0.8383598327636719,0.0,-0.02,0.08,0.08
0.8481607437133789,0.0,-0.02,0.08,0.08
0.8581390380859375,-0.01,-0.02,0.08,0.08
0.8680219650268555,-0.01,-0.04,0.1,0.1
0.8780059814453125,0.0,-0.04,0.07,0.08
0.888023853302002,-0.02,-0.03,0.1,0.1
0.8979818820953369,-0.01,-0.02,0.09,0.09
0.9079008102416992,0.01,-0.02,0.07,0.07
0.9180097579956055,-0.02,0.0,0.09,0.09
0.9278268814086914,-0.01,0.01,0.09,0.09
0.9378910064697266,0.02,0.0,0.08,0.08
0.9481048583984375,0.0,0.02,0.08,0.08
0.9576330184936523,-0.02,0.01,0.1,0.1
0.9676518440246582,-0.01,0.03,0.08,0.08
0.9775729179382324,-0.01,0.02,0.08,0.08
0.9878430366516113,-0.02,0.01,0.09,0.09
0.9975800514221191,-0.02,-0.01,0.08,0.08
1.0074419975280762,0.0,-0.03,0.09,0.09
1.0174448490142822,0.0,-0.03,0.08,0.08
1.0276389122009277,-0.03,-0.03,0.1,0.1
1.037348747253418,-0.01,-0.02,0.09,0.09
1.0472328662872314,0.01,-0.03,0.08,0.08
1.0570619106292725,0.0,-0.02,0.09,0.09
1.0672049522399902,-0.02,-0.02,0.08,0.08
1.0772337913513184,0.0,-0.02,0.08,0.08
